Company Name,Job Title,FALSE,Application Date,Status,Application Link,Contact Name,Contact Email,Follow-Up Date,Interview Date,Notes
Agile Partners,Sr developer,FALSE,10/7/2025,Applied,https://www.ziprecruiter.com/ojob/MQDXaGd-pRdU77T40-674g.--NyFeDNYRZ?zrclid=59b36641-36c0-4568-acda-6c1e7faa4dea&lvk=MQDXaGd-pRdU77T40-674g.--NyFeDNYRZ,,,,,
Grid Dynamics,Senior / Lead Ruby on Rails Engineer,FALSE,10/7/2025,Applied,https://www.griddynamics.com/careers/vacancy/18180?utm_source=ziprecruiter,,,,,
mudflap,"Senior software engineer, rails",FALSE,10/7/2025,Applied,https://www.mudflapinc.com/open-positions?ashby_employment_type=FullTime&ashby_jid=a2b200c3-325d-4673-bcd7-6f70092be020,,,,,
Planning Center,Senior rails developer,FALSE,10/8/2025,Rejected,https://jobs.rubyonrails.org/jobs/4702-full-stack-engineer-planning-center,,,,,
Prepared,"Senior/Staff Software Engineer, Backend",FALSE,10/8/2025,Screening,https://jobs.ashbyhq.com/prepared911/2fde7223-b518-49b5-98b0-ccf828dec27c?utm_source=Otta,,,,,
ad hoc,Engineering Lead,FALSE,10/9/2025,Applied,"https://www.glassdoor.com/job-listing/engineering-lead-remote-ad-hoc-JV_KO0,23_KE24,30.htm?jl=1009900153592&cs=1_f0fbaf23&s=269&t=NS&pos=108&src=GD_JOB_AD&guid=00000199c9d969c694e0756303a8a28a&uido=09E1AA54A38065C948731FB89D628DE6&jobListingId=1009900153592&ea=1&ao=1136043&vt=w&cb=1760028093089&ctt=1760028096530",,,,,
User Interviews,Senior Software Eng,FALSE,10/9/2025,Applied,"https://www.glassdoor.com/job-listing/senior-software-engineer-user-interviews-JV_IC1142551_KO0,24_KE25,40.htm?jl=1009874900191&cs=1_5f02fc62&s=269&t=NS&pos=104&src=GD_JOB_AD&guid=00000199c9d969c694e0756303a8a28a&uido=09E1AA54A38065C948731FB89D628DE6&jobListingId=1009874900191&ea=1&ao=1136043&vt=w&cb=1760028093089&ctt=1760031642575",,,,,
Settle,Senior Softwware Eng,FALSE,10/9/2025,Applied,https://job-boards.greenhouse.io/settle/jobs/4607317005?gh_src=ewhe2mek5us,,,,,
splitwise,"Software Engineer, backend",FALSE,10/10/2025,Applied,https://www.splitwise.com/jobs/software_engineer_backend,,,,,
Omada,Senior Software engineer,FALSE,10/10/2025,Applied,https://job-boards.greenhouse.io/omadahealth/jobs/7235659,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,Applied,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
,,FALSE,,,,,,,,
